QD1_yrborn2,QD2_gender,QD14_ethnic,QD4_adulthh,QD5_childhh,QD3_marstat,QD16_disab,QD18_urbrur,QL2_Edntt,QO1_Labfor,QO4E_grader,Q1_income,weight
5,0,9,1,0,1,1,1,7,3,4,-2,0.8806286079217928
1,1,5,3,0,1,0,1,3,7,NA,7,1.8868368214269762
8,0,2,2,0,2,0,1,7,3,2,-2,1.5388313404736342
5,1,9,1,0,1,0,4,1,2,5,-2,0.7602264758087044
2,1,9,1,2,2,0,3,7,1,2,3,0.7967465732464195
5,1,9,5,2,1,1,1,1,3,4,-2,1.1046362842407533
6,1,9,2,0,2,0,1,7,3,6,-2,0.6688245169437932
8,1,9,1,0,-2,0,1,1,3,6,-2,0.6934529535327815
5,1,1,2,0,2,0,1,1,2,5,-2,0.8557020565646984
3,0,2,3,2,2,0,1,7,1,2,-2,1.2049404642582828
4,1,9,2,3,2,0,3,7,2,3,1,1.1700423616818356
4,1,9,2,-2,2,0,3,7,1,2,-2,1.1700423616818356
3,1,9,2,3,2,0,2,7,1,2,-2,0.9966430678760168
5,1,9,1,0,4,0,2,1,2,3,-2,0.7118425954361521
7,0,9,2,0,2,0,2,7,3,2,-2,0.9971468531058331
3,1,13,-2,-2,3,0,6,7,1,2,-2,0.8868659125357732
5,1,9,1,0,-2,0,-3,5,3,3,-2,0.6334353323991133
6,0,9,1,0,1,0,2,3,3,3,3,0.5664145518722038
6,0,9,2,0,2,0,3,7,3,2,1,0.8317375439699505
7,0,9,1,0,1,0,5,1,3,-2,-2,0.6882396385707032
7,0,9,2,0,2,0,4,7,3,-2,-2,1.0106286018878932
6,0,9,-2,-2,-2,-2,4,1,3,-2,-2,0.9473281777863757
4,0,9,4,0,2,0,2,1,1,4,-2,1.9492627891096452
1,1,9,2,0,3,0,3,7,1,2,5,1.2144347878774275
7,0,9,2,0,2,0,3,0,3,3,-2,0.8959051160515211
7,0,9,2,0,2,0,4,7,3,3,4,0.8959051160515211
1,1,9,3,0,1,0,3,1,9,NA,-2,1.567728768725005
4,0,9,2,2,2,0,4,7,1,2,-2,1.3743166058407161
2,0,1,4,1,1,0,6,7,9,NA,-2,1.4924435717525868
4,0,9,2,0,2,0,2,7,1,2,7,1.1957635698639533
7,0,9,2,0,2,1,2,1,3,2,-2,0.8003192067214968
4,1,9,2,0,2,0,2,1,1,4,1,1.045208201130423
7,0,9,2,0,2,0,2,7,3,1,6,0.8003192067214968
4,1,9,2,1,2,0,2,7,2,2,5,1.045208201130423
3,0,12,2,2,2,0,2,7,1,2,4,0.915137340504526
5,1,9,2,0,2,0,2,5,1,3,-2,0.8389575596227938
4,1,9,3,0,2,0,3,7,1,2,9,1.3492720914915515
6,0,9,2,0,2,0,4,5,3,2,5,0.7556964879339689
1,1,9,3,0,1,0,3,7,7,NA,9,1.41074150870165
5,0,9,3,0,2,0,3,7,1,3,4,1.248114773453078
6,0,9,2,0,2,0,3,7,3,2,4,0.7556964879339689
4,1,9,1,0,1,0,3,7,1,2,6,0.7170116290722195
4,1,9,2,0,3,1,4,7,2,2,-2,1.4647330855975886
5,1,9,2,0,3,1,4,1,11,NA,-2,1.1756977161705042
5,0,9,2,0,2,0,4,1,1,4,-2,1.3450492415276356
5,0,9,2,0,2,0,4,7,1,3,8,1.3450492415276356
5,0,9,2,1,2,0,5,1,1,1,-2,1.221188487965092
5,1,9,2,0,2,0,3,3,2,2,-2,1.2178852600297705
6,1,9,1,0,-2,1,2,4,3,-2,-2,0.6482523201293573
3,1,13,2,2,2,0,3,7,4,-2,-2,1.0177566939473202
1,1,9,4,0,1,0,3,7,1,3,-2,1.7818549647050836
2,1,5,2,0,2,0,3,7,9,3,4,1.1187097062398017
2,1,9,2,2,2,0,4,7,2,2,6,1.1187097062398017
3,1,9,2,1,2,0,3,7,1,3,7,1.0177566939473202
4,1,9,2,0,2,0,3,1,1,4,-2,1.1588227281598764
3,0,9,2,1,2,0,3,1,1,5,-2,1.0146131157576908
3,1,9,2,3,2,0,3,5,2,5,-2,0.8868659125357732
6,0,9,2,0,2,0,3,3,3,2,-2,0.8317375439699505
5,0,9,1,0,-2,0,3,5,1,2,-2,0.7246775269542776
5,0,9,4,0,2,0,3,1,1,4,-2,1.3737048310262654
